id,Specific Hashtags,Underlying Hashtags,Comments,"Positive, Negative, & Neutral Scores",User Engagement Sentiment Score
12,#EthnicWear,#DiwaliLook,"Your Diwali style is unmatched!, The way you carry the traditional look is admirable., Pure grace and charm in this Diwali style., Diwali elegance at its finest!, The style game is strong this festive season., You're radiating Diwali joy with your style!, Your Diwali outfit is a masterpiece., Love the modern twist to your traditional Diwali style., Your Diwali style is a breath of fresh air., The details in your style make all the difference., A unique take on Diwali fashion!, I see a blend of traditional and contemporary., Not sure about this Diwali style choice., Expected a bit more traditional touch., Your Diwali style is a miss this time.","[-0.1511, 0.5574, 0.6705, 0.5255, 0.7783, 0.6239, 0.6249, 0.6369, 0.3182, 0.0, 0.0, 0.0, -0.2411, 0.0, -0.1531]",0.2794
13,#EthnicWear,#DesiSwag,"Your Desi swag is on point! It's a perfect blend of tradition and trend., A unique and stylish choice, showcasing your Desi swag with confidence., It's a bit too bold for my taste; the Desi swag might be overpowering., The swag in your Desi attire is undeniable, making a strong statement., Expected a bit more subtlety in your expression of Desi swag.","[0.6114, 0.0, 0.5106, 0.3818, 0.0, 0.5106, 0.0]",0.2878
14,#EthnicWear,#EthnicGlam,"Your ethnic glam is breathtaking! It exudes elegance and sophistication., The detailing in your ethnic glam is exquisite, capturing attention., Not sure about the combination; the ethnic glam seems a bit mismatched., Loving the way you bring glamour to ethnic wear; it's truly stunning., Expected a bit more dazzle; the ethnic glam feels a bit understated.","[0.75, 0.0, 0.0, -0.2411, 0.9153, 0.0]",0.2374
15,#EthnicWear,#DiwaliCelebration,"Wow! Your Diwali celebration is full of joy and vibrancy., The Diwali celebration vibes in your post are infectious., It lacks the true essence of Diwali celebration; it feels a bit dull., Your Diwali celebration seems grand and festive; love the enthusiasm., Expected more festive elements; the Diwali celebration looks a bit plain.","[0.8356, 0.0, 0.0258, 0.9201, 0.5095]",0.4582
16,#EthnicWear,#FestiveChic,"Your festive chic style is refreshing and modern, a great choice!, The festive chic elements in your outfit bring a contemporary twist., It's a bit too casual for a festive look; the festive chic is understated., Your festive chic ensemble is trendy and fashionable, making a statement., Expected a bit more traditional touch; the festive chic feels too modern.","[0.6249, 0.6588, 0.6249, 0.836, 0.6249, 0.0, 0.6249]",0.5706
17,#EthnicWear,#DiwaliAttire,"Your Diwali attire is stunning; it perfectly captures the festive spirit., The choice of colors in your Diwali attire is elegant and festive., Not feeling the Diwali vibes in this attire; it seems a bit off., Wow! The Diwali attire is a true showstopper, stealing the spotlight., Expected a bit more uniqueness; the Diwali attire is somewhat predictable.","[0.8885, 0.7269, -0.0951, 0.784, -0.5719, 0.0]",0.2887
18,#EthnicWear,#CulturalCouture,"""Absolutely love how #CulturalCouture brings out the richness of our traditions! The vibrant colors and intricate designs are a true celebration of our cultural heritage."" ""Cultural couture is the perfect blend of elegance and tradition. It's amazing how fashion can reflect the beauty of diverse cultures. #CulturalCouture is a celebration of our roots!"" ""Interesting take on cultural fashion. Not sure if it's my style, but I appreciate the effort to showcase our heritage. #CulturalCouture"" ""Honestly, #CulturalCouture seems a bit outdated. We should be moving towards more modern styles instead of clinging to the past. Fashion should evolve, not stay stuck in the past."" ""I don't get the hype around #CulturalCouture. It feels restrictive and doesn't allow for personal expression. Let's move forward and embrace more inclusive and contemporary styles.""","[0.9851, 0.8201, 0.0, 0.3343]",0.5349
19,#EthnicWear,#TraditionalCharm,"""There's something magical about #TraditionalCharm that never fades. The timeless elegance and grace of traditional attire always steal the show. Love it!"" ""In a world that's constantly changing, #TraditionalCharm is a reminder of our roots and cultural pride. It's heartwarming to see people embracing and preserving our traditional charm with such enthusiasm."" ""I can appreciate the beauty of #TraditionalCharm, but sometimes it feels a bit too rigid for my taste. Everyone has their own style, right?"" ""I don't understand why people are so obsessed with #TraditionalCharm. It's old-fashioned and doesn't represent the diversity of today's world. Time to move on!"" ""Wearing #TraditionalCharm feels like living in the past. We should focus on creating new traditions and styles instead of holding onto outdated norms.""","[0.8016, 0.9485, -0.1901, 0.4119]",0.493
20,#EthnicWear,#DiwaliGlamour,"""The sparkle and shine of #DiwaliGlamour truly light up the festive season! It's the perfect time to bring out the bling and celebrate in style. Love the festive vibes!"" ""Nothing like the joy and radiance of #DiwaliGlamour! The vibrant colors, intricate patterns, and the overall festive spirit make it the most glamorous time of the year."" ""I can see the appeal of #DiwaliGlamour, but sometimes it feels a bit over the top for me. I prefer a more subtle approach to fashion."" ""I find #DiwaliGlamour to be excessive and wasteful. Why spend so much on clothes that you'll only wear once a year? It's not practical."" ""I don't get the hype around #DiwaliGlamour. It feels like people are more focused on appearances than the true meaning of the festival. Let's keep it simple and meaningful.""","[0.9771, 0.1531, 0.807, 0.9649]",0.7255
21,#EthnicWear,#CulturalAttire,"""Wearing #CulturalAttire is like wearing a piece of our history and identity. It's a beautiful way to express our cultural diversity and heritage."" ""I'm in love with #CulturalAttire! It's amazing how different regions have their unique styles. It fosters a sense of unity and pride in our shared cultural heritage."" ""I appreciate the significance of #CulturalAttire, but sometimes it feels a bit too formal for everyday wear. It's great for special occasions, though."" ""I don't understand the obsession with #CulturalAttire. It's uncomfortable and impractical. We should focus on more comfortable and contemporary clothing."" ""Wearing #CulturalAttire feels like living in the past. We should be embracing a more global and inclusive approach to fashion rather than clinging to outdated traditions.""","[0.9729, 0.8807, 0.6735]",0.8424
22,#EthnicWear,#EthnicFashion,"""Festival season is the perfect time to experiment with fashion, and #FestivalFashion allows us to showcase our creativity and celebrate the joyous moments with style!"" ""Can't get enough of the vibrant and lively spirit of #FestivalFashion! It's the time when fashion knows no bounds, and everyone can express themselves in the most unique ways."" ""I see the appeal of #FestivalFashion during special occasions, but for everyday wear, it might be a bit too much. It's all about finding the right balance."" ""Honestly, #FestivalFashion seems like an excuse for people to show off. It's not practical for everyday life, and the constant pressure to dress up is exhausting."" ""I find #FestivalFashion to be overrated. It's all about trends and looking flashy instead of focusing on the true essence of festivals. Let's keep it simple and meaningful.""","[0.7845, 0.95, 0.4019, 0.0, 0.4588, 0.4215, 0.4404]",0.4939
23,#EthnicWear,#IndianFashion,"Absolutely in love with the vibrant colors and intricate designs of Indian fashion! It's a celebration of culture and style., The elegance of Indian fashion is unmatched. Every outfit tells a story, and I can't get enough of the rich heritage it represents., Indian fashion has a unique charm that captivates hearts worldwide. Proud to showcase our cultural diversity through these beautiful garments., The craftsmanship in Indian fashion is truly admirable. It's a perfect blend of tradition and trend, making it a timeless choice for any occasion., Exploring Indian fashion for the first time. It's fascinating to see the diversity in styles and choices. Still figuring out my favorite!, I find Indian fashion a bit too ornate and heavy. It's not my personal style, but I appreciate the cultural significance behind each piece.","[0.868, 0.4215, 0.5574, 0.9325, 0.8807, 0.0, 0.7777, 0.0, 0.7351]",0.5748
24,#EthnicWear,#EthnicFusion,"Ethnic fusion is a brilliant concept, bringing together the best of traditional and modern styles. It's like a breath of fresh air in the fashion world!, I love how ethnic fusion allows us to experiment with different elements while staying rooted in our cultural identity. It's a fashion revolution!, Ethnic fusion is the perfect blend of tradition and innovation. It's exciting to see designers creating new narratives with old classics., Can't get enough of ethnic fusion fashion! It's a celebration of diversity, and I love how it seamlessly combines elements from different cultures., I appreciate the creativity in ethnic fusion, but sometimes it feels a bit overwhelming. Still, it's fascinating to witness the evolution of fashion., Ethnic fusion feels like a forced attempt to modernize traditional wear. Some combinations just don't work for me, and it loses the essence of the culture.","[0.5859, 0.8516, 0.6696, 0.8934, 0.0, 0.6369, 0.6486, 0.0, 0.5423, -0.128, -0.3182]",0.3984
25,#EthnicWear,#TraditionalMeetsModern,"The magic happens when traditional meets modern! It's incredible to see how designers breathe new life into timeless pieces, creating something extraordinary., Traditional meets modern is my go-to style. It's a perfect balance that allows us to honor our roots while embracing the contemporary world. Love it!, Traditional meets modern is a brilliant concept that resonates with the evolving tastes of today's generation. It's the best of both worlds!, In a world that's constantly changing, traditional meets modern fashion is a reminder of our rich heritage, beautifully adapted for the modern era., Sometimes the fusion of traditional and modern feels a bit forced. I appreciate the attempt, but it's crucial to strike the right balance., I feel like traditional meets modern fashion dilutes the authenticity of both styles. It's challenging to find pieces that truly capture the essence of either.","[0.0, 0.296, 0.908, 0.8516, 0.0, 0.5574, 0.5719, -0.0772, -0.1901, 0.7184]",0.3636
26,#EthnicWear,#TraditionalFashion,"Traditional fashion is timeless and elegant. There's something about donning classic attire that makes you feel connected to your roots., Traditional fashion is not just clothing; it's a cultural statement. I love how it preserves our heritage and adds a touch of grace to any occasion., There's a certain charm in traditional fashion that can't be replicated. The craftsmanship and attention to detail are simply unmatched., Traditional fashion is a celebration of our cultural identity. It's heartwarming to see how it has stood the test of time, evolving with each generation., While traditional fashion has its appeal, I sometimes feel limited by the conventions. It's essential to find ways to infuse modern elements subtly., Traditional fashion can be too restrictive. The styles haven't evolved much, and it often feels like being stuck in the past without room for personal expression.","[0.4767, 0.7906, 0.5423, 0.4767, 0.0, 0.0, -0.2263, 0.0, 0.128]",0.2431
27,#EthnicWear,#IndianAttire,"Indian attire is my absolute favorite! The colors, fabrics, and intricate designs make every outfit a work of art. Proud to showcase our heritage!, Wearing Indian attire is like wearing a piece of history. It's not just clothing; it's a connection to centuries of tradition and culture., The variety in Indian attire is mind-boggling. From sarees to sherwanis, each piece tells a unique story and adds a touch of royalty to any occasion., Indian attire is so diverse and versatile. There's something for every taste and preference, making it a global favorite for fashion enthusiasts., I appreciate the beauty of Indian attire, but sometimes the elaborate designs can be a bit overwhelming. Simple elegance is my personal preference., Indian attire is too traditional for my taste. The vibrant colors and heavy embellishments make it hard for me to connect with the style.","[0.5093, 0.0, 0.6114, 0.3612, 0.0, 0.0, 0.0, 0.6597, 0.7579, 0.631, 0.4588]",0.3627
28,#EthnicWear,#CulturalFashion,"Cultural fashion is a celebration of diversity! I love how it brings people from different backgrounds together, showcasing the beauty of various traditions., Cultural fashion is not just about clothing; it's a representation of identity and pride. It's heartening to see people embracing and sharing their cultural heritage., Cultural fashion allows us to express our roots and share our stories through clothing. It's a powerful form of self-expression and unity., Cultural fashion is a global phenomenon, transcending borders and connecting people through the universal language of style. It's a beautiful thing to witness., I appreciate the concept of cultural fashion, but sometimes it feels like a trend rather than a genuine celebration of heritage. Authenticity is crucial., Cultural fashion can be exclusive and isolating. It often reinforces stereotypes and doesn't necessarily represent the true diversity within a culture.","[0.6696, 0.5859, 0.6369, 0.6124, 0.0, 0.5994, 0.4019, 0.5023, 0.5106]",0.5021
29,#EthnicWear,#EthnicStyle,"Ethnic style is a true reflection of cultural richness! I love how it allows us to embrace our heritage with grace and elegance., There's a timeless charm in ethnic style that never fades. Each piece carries a piece of tradition, making it a wardrobe essential., Ethnic style is my go-to choice for special occasions. The vibrant colors and intricate patterns add a touch of royalty to every outfit., Exploring ethnic style has been a delightful journey. It's amazing to see how different regions bring their unique flavor to traditional clothing., Ethnic style is more than just clothing; it's a connection to our roots and a celebration of the diversity that makes our culture so beautiful., I can't get enough of the beauty in ethnic style. From sarees to kurta-pajamas, each ensemble tells a story of tradition and craftsmanship., Ethnic style is interesting, but I'm still figuring out how to incorporate it into my everyday wardrobe. It feels a bit ceremonial at times., I find ethnic style too traditional and restrictive. It doesn't resonate with my modern, minimalist aesthetic., I've tried ethnic style, but the fabrics and embroidery can be too heavy and uncomfortable. Not practical for everyday wear.","[0.9565, 0.4019, 0.0, 0.7717, 0.8225, 0.7177, 0.5859, 0.0, 0.4019, 0.0, 0.0, 0.0, 0.0, -0.5267]",0.2951
30,#EthnicWear,#DesiFashion,"Desi fashion is a burst of colors and patterns that reflects the vibrant spirit of our culture. It's a celebration of identity and style!, I absolutely love the uniqueness of Desi fashion. From intricate embroidery to bold prints, it's a perfect blend of tradition and trend., Desi fashion has a timeless appeal that never goes out of style. It's heartwarming to see our heritage showcased through such beautiful clothing., I'm still exploring Desi fashion, trying to find the right balance between traditional and contemporary. Excited to experiment with different styles!, I find Desi fashion too flashy and overwhelming. The bold colors and heavy embellishments are not my cup of tea., Desi fashion can be too restrictive. The traditional styles don't leave much room for personal expression, making it challenging to connect with., I've tried Desi fashion, but it feels outdated. It lacks the modern edge and sophistication that I prefer in my wardrobe.","[0.6588, 0.8268, 0.5719, 0.7906, 0.0, 0.4003, 0.3818, 0.0382, 0.1531, 0.0, 0.0]",0.3474
31,#EthnicWear,#TraditionalOutfit,"Wearing a traditional outfit is like wearing a piece of history. It connects us to our roots and adds a touch of grace to any occasion., Traditional outfits have a timeless elegance that never fails to impress. The craftsmanship and attention to detail make each piece a work of art., I love the simplicity and charm of traditional outfits. They have a classic appeal that transcends trends and always looks graceful., Traditional outfits are beautiful, but sometimes I feel they are too formal for everyday wear. Still, they hold a special place in my wardrobe for special occasions., Traditional outfits can be impractical. The heavy fabrics and intricate designs make them uncomfortable, especially for extended wear., I find traditional outfits too old-fashioned. The styles haven't evolved much, and it feels like we're stuck in the past., Traditional outfits lack versatility. It's challenging to repurpose them for different occasions, limiting their practicality in modern life.","[0.6486, 0.4635, 0.872, 0.5994, 0.0, 0.6597, -0.25, 0.0, 0.0, 0.128, -0.1779, 0.0]",0.2453
32,#EthnicWear,#IndianEthnic,"Indian ethnic wear is a beautiful representation of our rich cultural heritage. The colors and designs speak volumes about our traditions., The diversity in Indian ethnic wear is astounding. Whether it's a saree, lehenga, or salwar kameez, there's something for every taste and occasion., I appreciate the intricate details in Indian ethnic wear. It's a true testament to the craftsmanship and skill of our talented artisans., Indian ethnic wear is stunning, but sometimes the elaborate styles can be overwhelming. Finding the right balance is key to a perfect look., Indian ethnic wear is too traditional for my liking. The elaborate drapes and heavy embellishments make it difficult to move comfortably., I find Indian ethnic wear too opulent. The excessive use of gold and sequins can be overpowering and not suitable for every occasion., Indian ethnic wear feels outdated. It's time for a fashion revolution that brings a more modern and practical approach to our traditional styles.","[0.8176, 0.4215, 0.0, 0.0, 0.0, 0.8555, 0.3818, 0.7227, 0.4588, 0.0, 0.0]",0.3325
33,#EthnicWear,#EthnicChic,"Ethnic chic is my favorite fashion statement. It seamlessly combines traditional elements with a modern flair, creating a unique and stylish look., I love how ethnic chic allows us to embrace our cultural heritage without compromising on style. It's the perfect blend of tradition and trend., Ethnic chic is a breath of fresh air in the fashion world. It's exciting to see designers infuse traditional motifs into contemporary silhouettes., Exploring ethnic chic for the first time. It's a fascinating journey, but I'm still figuring out how to incorporate it into my daily wardrobe., I find ethnic chic too experimental. The clash of traditional and modern elements can create a confusing and chaotic look., Ethnic chic feels like a forced attempt to be trendy. It lacks the authenticity and depth that comes with traditional styles., I've tried ethnic chic, but it's not my cup of tea. The fusion of styles feels disjointed, and I prefer a more cohesive and classic look.","[0.6249, 0.296, 0.9062, 0.765, 0.6808, 0.0, -0.2263, 0.1531, 0.2732, -0.4497, 0.0]",0.2748
34,#EthnicWear,#EthnicLook,"Embracing the ethnic look brings out a different level of confidence and grace. It's a powerful way to express my cultural identity., The ethnic look is a celebration of tradition with a modern twist. I love how designers are infusing new life into classic styles., Every time I wear an ethnic look, I feel a deep connection to my heritage. It's a reminder of the rich cultural tapestry we belong to., Ethnic looks are so versatile! From casual gatherings to formal events, there's always a perfect ensemble to express your style., The ethnic look allows us to stand out in a crowd. The colors, patterns, and accessories create a unique and unforgettable presence., I'm a fan of the ethnic look because it tells a story. Each piece has cultural significance, making it more than just a fashion statement., The ethnic look is intriguing, but I haven't fully embraced it yet. Sometimes it feels a bit too ornate for my taste., I don't understand the hype around the ethnic look. It seems like a forced attempt to romanticize the past rather than embracing the future., Ethnic looks can be overwhelming with all the accessories and layers. It feels like there's too much going on in one outfit., I find the ethnic look too traditional for modern life. It's not practical for everyday wear, and the styles seem outdated.","[0.836, 0.6369, 0.0, 0.5574, 0.3304, 0.5719, 0.0, 0.0, 0.2732, 0.5267, 0.0, 0.0, 0.0, 0.3182, 0.3612, 0.0, 0.0]",0.2595
35,#EthnicWear,#IndianTradition,"Indian tradition is beautifully reflected in our clothing. Each garment carries the essence of our cultural heritage, making it special and significant., I have a deep appreciation for Indian tradition, especially in clothing. The rituals and stories woven into the fabric make every outfit meaningful., Indian tradition is timeless. Whether it's a saree, kurta, or sherwani, the designs have a classic elegance that transcends fashion trends., Indian tradition is rich and diverse, but sometimes the traditional outfits can be a bit too elaborate for everyday wear. Still, I cherish them for special occasions., I find Indian tradition too restrictive in fashion. It limits creativity and personal expression, making it challenging to evolve with the times., Indian tradition can be too ceremonial. The heavy embellishments and intricate designs are not practical for modern, fast-paced lifestyles., I've tried embracing Indian tradition, but the styles feel outdated. We need a more contemporary approach that resonates with the younger generation.","[0.5719, 0.5423, 0.5106, 0.3182, 0.0, 0.0, 0.0, 0.4767, 0.5574, 0.0, 0.6486, 0.3818, 0.1531, 0.1531, 0.0, 0.0, 0.0]",0.2537
36,#EthnicWear,#EthnicGlamour,"""Absolutely stunning! This #EthnicGlamour look is pure perfection. "", ""Nice outfit, it's interesting to see different styles. #EthnicGlamour"", ""Not a fan of this #EthnicGlamour trend, it feels outdated."", ""Too flashy for my taste. #EthnicGlamour is not my thing."", ""Looks like a costume rather than a fashion statement. #EthnicGlamour""","[0.7836, 0.4215, 0.4019, -0.2411, 0.0, 0.0, 0.3612]",0.2467
37,#EthnicWear,#EthnicDress,"""In love with the elegance of this #EthnicDress! Classic and timeless."", ""Just another #EthnicDress – nothing special about it."", ""I find #EthnicDress styles boring and overrated."", ""This #EthnicDress lacks creativity, looks like every other one out there."", ""Not a fan of the pattern on this #EthnicDress. Too busy for my taste.""","[0.8221, -0.3089, -0.3182, 0.3818, 0.3612, -0.2411]",0.1162
38,#EthnicWear,#TraditionalWear,"""Always a fan of embracing our roots with #TraditionalWear. So graceful!"", ""Not sure about the hype around #TraditionalWear. It's just clothing, after all."", ""I think #TraditionalWear is so outdated. We need to move on from these old styles."", ""Why stick to #TraditionalWear when there are so many modern options available?"", ""This #TraditionalWear trend needs to evolve; it's becoming monotonous.""","[0.7549, -0.2411, 0.0, 0.0, 0.0, 0.0]",0.0856
39,#EthnicWear,#DesiStyle,"""Exquisite blend of modern and traditional elements in this #DesiStyle. Love it!"", ""I don't really get the fascination with #DesiStyle. It's just a mix of everything."", ""This attempt at #DesiStyle is a complete miss. Looks chaotic."", ""Can't appreciate the fusion in this #DesiStyle – it's confusing and not appealing."", ""The whole #DesiStyle concept seems forced and artificial to me.""","[0.6696, 0.5367, -0.5859, -0.4867, -0.4588]",-0.065
40,#EthnicWear,#IndianFashion,"""Always proud to showcase the diversity and richness of our culture through #IndianFashion!"", ""I don't really follow #IndianFashion trends; it's not my area of interest."", ""I find #IndianFashion too loud and in-your-face. Not my cup of tea."", ""Is #IndianFashion ever going to move beyond the same old motifs and designs?"", ""This particular #IndianFashion look is just too much – less is more, people!""","[0.7644, 0.4588, 0.0, 0.0, 0.0, 0.0]",0.2039
41,#EthnicWear,#EthnicVibes,"""Feeling the positive energy with these #EthnicVibes. It's a mood lifter!"", ""Not really into the whole #EthnicVibes thing. It doesn't resonate with me."", ""These #EthnicVibes are too overrated. People need to explore other styles."", ""I don't understand the hype around #EthnicVibes. It's just cultural appropriation."", ""These #EthnicVibes are giving me a headache. Too much going on.""","[0.7574, 0.0, 0.0, 0.0, 0.34]",0.2195
42,#EthnicWear,#CulturalAttire,"""Respecting and celebrating our heritage through beautiful #CulturalAttire. Love it!"", ""I appreciate the sentiment behind #CulturalAttire, but it's not my personal style."", ""Why do we still cling to #CulturalAttire? It's time to move on and embrace change."", ""This attempt at #CulturalAttire is cringe-worthy. Can we get more modern, please?"", ""I find #CulturalAttire too restrictive and old-fashioned. Not my thing at all.""","[0.9459, 0.4019, 0.0, 0.3182, 0.0, 0.3182, 0.0]",0.2835
43,#EthnicWear,#TraditionalElegance,"""Captivating elegance in this #TraditionalElegance attire. Timeless beauty!"", ""I see the appeal in #TraditionalElegance, but it's not something I would choose."", ""This concept of #TraditionalElegance is so outdated. We need a fashion revolution."", ""I don't understand why people are so obsessed with #TraditionalElegance. It's boring!"", ""There's nothing elegant about this #TraditionalElegance look. It's just too much.""","[0.8016, 0.0, 0.0, 0.0, -0.5904, -0.3724]",-0.0269
44,#EthnicWear,#EthnicOutfit,"""This #EthnicOutfit is a masterpiece! Such intricate details and vibrant colors."", ""It's just another #EthnicOutfit. Nothing remarkable about it."", ""I find #EthnicOutfit styles to be too conventional and uninspiring."", ""Why stick to #EthnicOutfit traditions? It's time for a fashion revolution."", ""Not a fan of the fabric choice in this #EthnicOutfit. Looks cheap and outdated.""","[0.8553, -0.4449, 0.0, 0.0, -0.2411]",0.0339
45,#EthnicWear,#WeddingWear,"""Breathtaking #WeddingWear! Perfect for a grand celebration of love and tradition."", ""I don't get the obsession with elaborate #WeddingWear. It's just for one day."", ""This trend of opulent #WeddingWear is so excessive. It's not practical at all."", ""I find #WeddingWear to be overrated. Why spend so much on something you wear once?"", ""This #WeddingWear ensemble is trying too hard. Simple is more elegant.""","[0.9348, 0.2584, 0.0, 0.0, 0.4576]",0.3302
46,#SeasonalFashion,#WinterFashion,"""Absolutely loving the cozy vibes of this #WinterFashion ensemble! "", ""Winter fashion is all about layering, and this outfit nails it! #WinterFashion"", ""The combination of warm colors and stylish layers in this #WinterFashion look is on point."", ""Wearing layers never looked so chic! This #WinterFashion style is my go-to inspiration."", ""Winter doesn't mean compromising on style. This #WinterFashion outfit is pure elegance!"", ""The way this outfit blends comfort and style is why I adore #WinterFashion so much."", ""Winter fashion is a chance to showcase creativity, and this look is a masterpiece!"", ""In awe of how this #WinterFashion trend keeps evolving with such fabulous ideas."", ""Not sure what the fuss is about with #WinterFashion. It's all too bulky and impractical."", ""I appreciate the effort, but #WinterFashion looks are often too cumbersome for my taste."", ""This #WinterFashion trend seems to sacrifice style for warmth, not a fan of that compromise."", ""Winter fashion just isn't my thing. It always feels like too much effort for a simple outing. #WinterFashion""","[0.6689, 0.0, 0.0, 0.2263, 0.7531, 0.5255, 0.7269, 0.5574, 0.6588, 0.5267, -0.2411, 0.4019, 0.0, 0.4588, -0.2411, 0.3612]",0.3365
47,#SeasonalFashion,#SnowDayStyle,"""Absolutely loving the cozy snow day vibes!  This outfit is the perfect blend of style and comfort. #SnowDayStyle"", ""Such a chic winter look! The layers and accessories are on point. Ready to slay the snowy day!  #SnowDayStyle"", ""Nice winter ensemble. Simple yet effective. #SnowDayStyle"", ""Not a fan of this style. It seems too bulky and uncomfortable for a snow day. #SnowDayStyle""","[0.893, 0.6351, 0.7096, -0.5517]",0.4215
48,#SeasonalFashion,#WinterWardrobe,"""My winter wardrobe is all set with this classic ensemble! The colors scream warmth and sophistication. #WinterWardrobe"", ""This winter wardrobe inspiration is giving me life! I need to recreate this look ASAP. #WinterWardrobe"", ""Decent winter wardrobe choices, nothing too extraordinary. #WinterWardrobe"", ""Honestly, this winter wardrobe is a bit dull. Where's the excitement and creativity? #WinterWardrobe""","[0.1511, 0.7263, 0.0, 0.0, 0.4588, 0.4767]",0.3022
49,#SeasonalFashion,#SweaterWeather,"""Embracing the chill with the coziest sweater! Perfect for sweater weather.  #SweaterWeather"", ""This sweater is everything! Comfy, stylish, and ideal for those chilly days. #SweaterWeather"", ""Sweater weather is nice, but this one doesn't stand out much. #SweaterWeather"", ""Not a fan of the design. It looks too plain for sweater weather. #SweaterWeather""","[0.6114, 0.0, 0.0, 0.5267, 0.4215, 0.0, -0.2411]",0.1884
